district_id,rone_region_nm,match_method,note
3120164,서울>강남>방배역/내방역,exact,
3120166,서울>강남>방배역/내방역,exact,
3110915,서울>강남>서래마을,token,앞말 겹침 0.5 (서래초등학교 ≈ 서래마을)
3120165,서울>강남>서래마을,exact,
3110951,서울>강남>신사역,token,앞말 겹침 0.3333 (신사은행나무공원 ≈ 신사역)
3120178,서울>강남>신사역,exact,구 경계 확인 — 신사역이 강남·서초 경계에 걸친다(서초 측)
3130304,서울>강남>신사역,token,앞말 겹침 0.5 (신사상가 ≈ 신사역)
3120188,서울>강남>압구정,normalized,
3120202,서울>강남>압구정,token,앞말 겹침 0.5 (압구정로데오역(압구정로데오) ≈ 압구정)
3110939,서울>강남>양재역,normalized,
3110940,서울>강남>양재역,token,앞말 겹침 0.5 (양재근린공원(양재2동주민센터) ≈ 양재역)
3120179,서울>강남>양재역,exact,
3120182,서울>강남>양재역,token,"앞말 겹침 0.3333 (양재시민의숲역(양재동꽃시장, aT센터) ≈ 양재역)"
3130301,서울>강남>양재역,token,앞말 겹침 0.5 (양재시장 ≈ 양재역)
3110979,서울>강남>청담,normalized,
3110985,서울>강남>청담,token,앞말 겹침 0.5 (청담근린공원 ≈ 청담)
3110988,서울>강남>청담,normalized,
3110990,서울>강남>청담,normalized,
3120208,서울>강남>청담,normalized,
3130308,서울>강남>청담,token,앞말 겹침 0.3333 (청담삼익시장 ≈ 청담)
3110958,서울>강남>테헤란로,manual,테헤란로 축 위의 역
3110967,서울>강남>테헤란로,manual,테헤란로 축 위의 역
3120197,서울>강남>테헤란로,manual,테헤란로 축(강남역~삼성역) 위의 역
3120210,서울>강남>테헤란로,manual,테헤란로 축 위의 역
3120222,서울>강남>테헤란로,manual,테헤란로 동쪽 끝
3110953,서울>강남>학동/강남구청역,token,앞말 겹침 0.5 (학동근린공원 ≈ 학동)
3110968,서울>강남>학동/강남구청역,normalized,
3110970,서울>강남>학동/강남구청역,normalized,
3110973,서울>강남>학동/강남구청역,normalized,
3120191,서울>강남>학동/강남구청역,normalized,
3120200,서울>강남>학동/강남구청역,normalized,
3120203,서울>강남>학동/강남구청역,exact,
3120209,서울>강남>학동/강남구청역,normalized,
3120212,서울>강남>한티역,exact,
3120231,서울>기타>가락시장,exact,
3120234,서울>기타>가락시장,normalized,
3110140,서울>기타>건대입구,normalized,
3110141,서울>기타>건대입구,normalized,
3120053,서울>기타>건대입구,normalized,
3110205,서울>기타>경희대,token,앞말 겹침 0.5 (경희대삼거리 ≈ 경희대)
3110214,서울>기타>경희대,token,앞말 겹침 0.6 (경희대후문 ≈ 경희대)
3120064,서울>기타>경희대,exact,
3110778,서울>기타>구로디지털단지역,normalized,구 경계 확인 — 구로디지털단지역이 구로·영등포 경계에 걸친다(영등포 측)
3120129,서울>기타>구로디지털단지역,normalized,
3120130,서울>기타>구로디지털단지역,exact,
3110159,서울>기타>구의역,normalized,
3110166,서울>기타>구의역,token,앞말 겹침 0.5 (구의1동주민센터 ≈ 구의역)
3120056,서울>기타>구의역,exact,
3120058,서울>기타>구의역,normalized,
3110156,서울>기타>군자,normalized,
3110162,서울>기타>군자,normalized,
3120055,서울>기타>군자,normalized,
3110654,서울>기타>까치산역,normalized,
3110656,서울>기타>까치산역,normalized,
3110662,서울>기타>까치산역,normalized,
3120121,서울>기타>까치산역,exact,
3130219,서울>기타>까치산역,token,앞말 겹침 0.6 (까치산시장 ≈ 까치산역)
3110899,서울>기타>낙성대,normalized,
3110900,서울>기타>낙성대,normalized,
3110828,서울>기타>노량진,normalized,
3110832,서울>기타>노량진,normalized,
3120153,서울>기타>노량진,exact,
3130265,서울>기타>노량진,token,앞말 겹침 0.4286 (노량진중앙시장 ≈ 노량진)
3110416,서울>기타>노원역,normalized,
3110422,서울>기타>노원역,normalized,
3120081,서울>기타>노원역,exact,
3110727,서울>기타>독산/시흥,manual,금천구 독산동
3110730,서울>기타>독산/시흥,token,앞말 겹침 0.4 (독산파출소 ≈ 독산)
3110736,서울>기타>독산/시흥,manual,금천구 독산동
3110739,서울>기타>독산/시흥,token,앞말 겹침 0.5 (시흥3동 우편취급국 ≈ 시흥)
3110741,서울>기타>독산/시흥,token,앞말 겹침 0.5 (독산2동주민센터 ≈ 독산)
3110743,서울>기타>독산/시흥,normalized,
3110744,서울>기타>독산/시흥,token,앞말 겹침 0.4 (독산동성당 ≈ 독산)
3110745,서울>기타>독산/시흥,manual,금천구 독산동
3110750,서울>기타>독산/시흥,token,앞말 겹침 0.5 (시흥4동주민센터(서울신흥초등학교) ≈ 시흥)
3110753,서울>기타>독산/시흥,manual,금천구 시흥동
3120132,서울>기타>독산/시흥,token,앞말 겹침 0.6667 (독산동 ≈ 독산)
3120133,서울>기타>독산/시흥,token,앞말 겹침 0.6667 (서울시흥동우체국(홈플러스시흥점) ≈ 시흥)
3130231,서울>기타>독산/시흥,token,앞말 겹침 0.3333 (독산동 우시장 ≈ 독산)
3130232,서울>기타>독산/시흥,manual,금천구 독산동
3110124,서울>기타>뚝섬,normalized,
3120051,서울>기타>뚝섬,normalized,
3130070,서울>기타>뚝섬,token,앞말 겹침 0.3333 (뚝섬역상점가 ≈ 뚝섬)
3111074,서울>기타>명일역,normalized,
3120248,서울>기타>명일역,exact,
3130325,서울>기타>명일역,token,앞말 겹침 0.3333 (명일전통시장 ≈ 명일역)
3110605,서울>기타>목동,manual,양천구 목동
3110614,서울>기타>목동,manual,양천구 목동
3110620,서울>기타>목동,normalized,
3110621,서울>기타>목동,normalized,
3110624,서울>기타>목동,token,앞말 겹침 0.5 (목동문화체육센터 ≈ 목동)
3120110,서울>기타>목동,normalized,
3120111,서울>기타>목동,normalized,구 경계 확인 — 목동사거리가 양천·강서 경계에 걸친다(강서 측)
3120114,서울>기타>목동,token,앞말 겹침 0.3333 (목동신시가지 ≈ 목동)
3130208,서울>기타>목동,token,앞말 겹침 0.3333 (목동깨비시장(목3동시장) ≈ 목동)
3110306,서울>기타>미아사거리,normalized,미아사거리역이 강북·성북 경계 — 성북 측 인접 상권
3110364,서울>기타>미아사거리,normalized,
3110365,서울>기타>미아사거리,normalized,
3110377,서울>기타>미아사거리,normalized,
3120073,서울>기타>미아사거리,exact,미아사거리역이 강북·성북 경계 — 성북 측 인접 상권
3120077,서울>기타>미아사거리,normalized,
3120078,서울>기타>미아사거리,normalized,
3130134,서울>기타>미아사거리,token,앞말 겹침 0.6667 (미아6 ≈ 미아사거리)
3110481,서울>기타>불광역,normalized,
3110487,서울>기타>불광역,normalized,
3110489,서울>기타>불광역,normalized,
3110491,서울>기타>불광역,normalized,
3120092,서울>기타>불광역,exact,
3130171,서울>기타>불광역,manual,"불광동, 불광역 인근"
3110843,서울>기타>사당,token,앞말 겹침 0.5 (사당5동주민센터 ≈ 사당)
3110845,서울>기타>사당,token,앞말 겹침 0.5 (사당종합체육관 ≈ 사당)
3110850,서울>기타>사당,normalized,
3110902,서울>기타>사당,normalized,구 경계 확인 — 사당역이 동작·관악 경계에 걸친다(관악 측)
3120160,서울>기타>사당,exact,
3120163,서울>기타>사당,normalized,
3130272,서울>기타>사당,token,앞말 겹침 0.5 (사당시장 ≈ 사당)
3130274,서울>기타>사당,manual,동작구 사당동
3110424,서울>기타>상계역,normalized,
3110426,서울>기타>상계역,token,앞말 겹침 0.5 (상계2동주민센터 ≈ 상계역)
3110428,서울>기타>상계역,token,앞말 겹침 0.5 (상계5동주민센터 ≈ 상계역)
3110431,서울>기타>상계역,exact,
3110436,서울>기타>상계역,token,앞말 겹침 0.5 (상계제일중학교 ≈ 상계역)
3110440,서울>기타>상계역,token,앞말 겹침 0.3333 (상계3동4동주민센터 ≈ 상계역)
3120082,서울>기타>상계역,token,앞말 겹침 0.4 (상계백병원 ≈ 상계역)
3130154,서울>기타>상계역,manual,노원구 상계동
3130157,서울>기타>상계역,token,앞말 겹침 0.3333 (상계중앙시장 ≈ 상계역)
3130158,서울>기타>상계역,manual,"노원구 상계동, 상계역 앞"
3110255,서울>기타>상봉역,normalized,
3110257,서울>기타>상봉역,normalized,
3110262,서울>기타>상봉역,normalized,
3120069,서울>기타>상봉역,exact,
3110897,서울>기타>서울대입구역,normalized,
3120159,서울>기타>서울대입구역,exact,
3110296,서울>기타>성신여대,token,앞말 겹침 0.6667 (성신여대입구역 4번 ≈ 성신여대)
3110301,서울>기타>성신여대,token,앞말 겹침 0.6667 (성신여대입구역 7번 ≈ 성신여대)
3110303,서울>기타>성신여대,token,앞말 겹침 0.6667 (성신여대입구역 1번 ≈ 성신여대)
3120072,서울>기타>성신여대,exact,
3110351,서울>기타>수유,manual,강북구 수유동
3110352,서울>기타>수유,token,앞말 겹침 0.5 (수유1동주민센터 ≈ 수유)
3110353,서울>기타>수유,token,앞말 겹침 0.6667 (수유동우체국 ≈ 수유)
3110359,서울>기타>수유,token,앞말 겹침 0.4 (수유시장옆 ≈ 수유)
3110360,서울>기타>수유,normalized,
3110373,서울>기타>수유,normalized,
3120076,서울>기타>수유,normalized,
3130130,서울>기타>수유,manual,강북구 수유동
3130135,서울>기타>수유,token,앞말 겹침 0.3333 (수유중앙시장 ≈ 수유)
3130136,서울>기타>수유,token,앞말 겹침 0.3333 (수유재래시장 ≈ 수유)
3130137,서울>기타>수유,token,앞말 겹침 0.5 (수유시장 ≈ 수유)
3130138,서울>기타>수유,token,앞말 겹침 0.4 (수유프라자 ≈ 수유)
3110069,서울>기타>숙명여대,manual,숙대입구 일대가 곧 숙명여대 상권이다(용산구)
3110075,서울>기타>숙명여대,manual,숙대입구 일대
3120042,서울>기타>숙명여대,manual,숙대입구 일대
3110864,서울>기타>신림역,token,앞말 겹침 0.5 (신림우방아파트 ≈ 신림역)
3110869,서울>기타>신림역,normalized,
3110870,서울>기타>신림역,manual,관악구 신림동
3110872,서울>기타>신림역,normalized,
3110877,서울>기타>신림역,normalized,
3110879,서울>기타>신림역,token,앞말 겹침 0.5 (신림현대아파트 ≈ 신림역)
3110880,서울>기타>신림역,normalized,
3120157,서울>기타>신림역,exact,
3130276,서울>기타>신림역,token,앞말 겹침 0.3333 (신림중앙시장(조원동 펭귄시장) ≈ 신림역)
3130277,서울>기타>신림역,token,앞말 겹침 0.3333 (신림중앙시장 ≈ 신림역)
3130280,서울>기타>신림역,token,앞말 겹침 0.3333 (신림종합시장 ≈ 신림역)
3130288,서울>기타>신림역,manual,관악구 신림동
3110387,서울>기타>쌍문역,normalized,
3110396,서울>기타>쌍문역,normalized,
3110398,서울>기타>쌍문역,token,앞말 겹침 0.5 (쌍문2동우체국 ≈ 쌍문역)
3130145,서울>기타>쌍문역,manual,"도봉구 쌍문동, 쌍문역 옆"
3130146,서울>기타>쌍문역,token,앞말 겹침 0.5 (쌍문시장(쌍문역골목시장) ≈ 쌍문역)
3130147,서울>기타>쌍문역,manual,"도봉구 쌍문동, 쌍문역 옆"
3110050,서울>기타>약수역,normalized,
3120038,서울>기타>약수역,exact,
3130042,서울>기타>약수역,token,앞말 겹침 0.5 (약수시장 ≈ 약수역)
3110464,서울>기타>연신내,normalized,
3110465,서울>기타>연신내,normalized,
3110472,서울>기타>연신내,normalized,
3110479,서울>기타>연신내,normalized,
3110480,서울>기타>연신내,normalized,
3110482,서울>기타>연신내,token,앞말 겹침 0.6667 (연신초등학교 ≈ 연신내)
3110485,서울>기타>연신내,normalized,
3120090,서울>기타>연신내,normalized,
3130167,서울>기타>연신내,token,앞말 겹침 0.5 (연신내상점가(연빛거리) ≈ 연신내)
3110683,서울>기타>오류동역,token,앞말 겹침 0.6667 (오류고등학교 ≈ 오류동역)
3110689,서울>기타>오류동역,normalized,
3110693,서울>기타>오류동역,normalized,
3110696,서울>기타>오류동역,normalized,
3120123,서울>기타>오류동역,exact,
3110114,서울>기타>왕십리,token,앞말 겹침 0.5 (왕십리파출소 ≈ 왕십리)
3110118,서울>기타>왕십리,normalized,
3120049,서울>기타>왕십리,exact,
3130067,서울>기타>왕십리,token,앞말 겹침 0.3333 (왕십리도선동상점가 ≈ 왕십리)
3130069,서울>기타>왕십리,token,앞말 겹침 0.5 (왕십리맛골목 ≈ 왕십리)
3110070,서울>기타>용산역,token,앞말 겹침 0.4 (용산세무서 ≈ 용산역)
3120040,서울>기타>용산역,exact,
3120041,서울>기타>용산역,exact,
3130056,서울>기타>용산역,token,앞말 겹침 0.3333 (용산용문시장 ≈ 용산역)
3001491,서울>기타>이태원,normalized,
3110086,서울>기타>이태원,token,앞말 겹침 0.5 (이태원역 북측 ≈ 이태원)
3110087,서울>기타>이태원,token,앞말 겹침 0.3333 (이태원엔틱가구거리 ≈ 이태원)
3120046,서울>기타>이태원,exact,
3130061,서울>기타>이태원,token,앞말 겹침 0.6 (이태원시장 ≈ 이태원)
3001495,서울>기타>잠실/송파,normalized,
3111009,서울>기타>잠실/송파,token,앞말 겹침 0.3333 (송파책박물관 ≈ 송파)
3111011,서울>기타>잠실/송파,token,앞말 겹침 0.5 (잠실나루역 ≈ 잠실)
3111013,서울>기타>잠실/송파,token,앞말 겹침 0.5 (송파나루역 1번(송리단길) ≈ 송파)
3111014,서울>기타>잠실/송파,token,앞말 겹침 0.5 (송파나루역 2번 ≈ 송파)
3111016,서울>기타>잠실/송파,normalized,
3111017,서울>기타>잠실/송파,token,앞말 겹침 0.5 (송파나루역 3번 ≈ 송파)
3120227,서울>기타>잠실/송파,normalized,
3120230,서울>기타>잠실/송파,normalized,
3120232,서울>기타>잠실/송파,token,앞말 겹침 0.5 (송파나루역 ≈ 송파)
3120225,서울>기타>잠실새내역,exact,
3110145,서울>기타>장안동,token,앞말 겹침 0.6667 (장안초등학교 ≈ 장안동)
3110251,서울>기타>장안동,token,앞말 겹침 0.6667 (장안중학교 ≈ 장안동)
3120067,서울>기타>장안동,normalized,
3111048,서울>기타>천호,normalized,
3111049,서울>기타>천호,token,앞말 겹침 0.4 (천호지구대(천호동자전거거리) ≈ 천호)
3111051,서울>기타>천호,normalized,
3111056,서울>기타>천호,token,앞말 겹침 0.5 (천호태영아파트 ≈ 천호)
3111057,서울>기타>천호,normalized,
3111069,서울>기타>천호,token,앞말 겹침 0.5 (천호1동주민센터 ≈ 천호)
3111070,서울>기타>천호,normalized,
3120243,서울>기타>천호,normalized,
3110213,서울>기타>청량리,token,앞말 겹침 0.6667 (청량초등학교 ≈ 청량리)
3120063,서울>기타>청량리,exact,
3130089,서울>기타>청량리,token,앞말 겹침 0.4286 (청량리수산시장 ≈ 청량리)
3130090,서울>기타>청량리,token,앞말 겹침 0.4286 (청량리종합시장 ≈ 청량리)
3130092,서울>기타>청량리,token,앞말 겹침 0.3333 (청량리농수산물시장 ≈ 청량리)
3130094,서울>기타>청량리,token,앞말 겹침 0.375 (청량리청과물시장 ≈ 청량리)
3130095,서울>기타>청량리,token,앞말 겹침 0.4286 (청량리전통시장 ≈ 청량리)
3110027,서울>기타>혜화동,token,앞말 겹침 0.6667 (혜화역 1번 ≈ 혜화동)
3120012,서울>기타>혜화동,token,앞말 겹침 0.6667 (혜화역 ≈ 혜화동)
3110550,서울>기타>홍대/합정,normalized,이중 권역(오피스/상가 분할 상이)
3110557,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.25 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.25 (홍대부속여중고앞 ≈ 홍대)
3110564,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.5 (홍대입구역 3번 ≈ 홍대)
3110569,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.3333 (홍대땡땡거리 ≈ 홍대)
3120101,서울>기타>홍대/합정,normalized,이중 권역(오피스/상가 분할 상이)
3120102,서울>기타>홍대/합정,exact,이중 권역(오피스/상가 분할 상이)
3120103,서울>기타>홍대/합정,exact,이중 권역(오피스/상가 분할 상이)
3120105,서울>기타>홍대/합정,exact,이중 권역(오피스/상가 분할 상이)
3130188,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.5 (합정시장 ≈ 합정)
3130190,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.2222 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.2222 (홍대소상공인상점가 ≈ 홍대)
3130191,서울>기타>홍대/합정,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.25 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.25 (홍대 걷고싶은 거리 ≈ 홍대)
3110647,서울>기타>화곡,normalized,
3110653,서울>기타>화곡,normalized,
3110658,서울>기타>화곡,normalized,
3110659,서울>기타>화곡,normalized,
3110668,서울>기타>화곡,token,앞말 겹침 0.5 (화곡2동주민센터 ≈ 화곡)
3110669,서울>기타>화곡,token,앞말 겹침 0.3333 (화곡보람2차아파트 ≈ 화곡)
3110675,서울>기타>화곡,token,앞말 겹침 0.5 (화곡4동주민센터 ≈ 화곡)
3120120,서울>기타>화곡,normalized,
3130216,서울>기타>화곡,token,앞말 겹침 0.3333 (화곡중앙시장 ≈ 화곡)
3130217,서울>기타>화곡,token,앞말 겹침 0.3333 (화곡본동시장 ≈ 화곡)
3120003,서울>도심>광화문,normalized,
3130022,서울>도심>남대문,token,앞말 겹침 0.6 (남대문시장 ≈ 남대문)
3130024,서울>도심>남대문,token,앞말 겹침 0.6 (남대문시장(자유상가) ≈ 남대문)
3130025,서울>도심>남대문,token,앞말 겹침 0.6 (남대문시장 ≈ 남대문)
3001493,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문패션타운 관광특구 ≈ 동대문)
3110029,서울>도심>동대문,normalized,
3110030,서울>도심>동대문,normalized,
3110045,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문역사문화공원역 5번 ≈ 동대문)
3120016,서울>도심>동대문,normalized,
3120037,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문역사문화공원역 ≈ 동대문)
3130012,서울>도심>동대문,token,"앞말 겹침 0.4286 (동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가) ≈ 동대문)"
3130013,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문상가A동 ≈ 동대문)
3130016,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문상가B동 ≈ 동대문)
3130017,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문상가C동 ≈ 동대문)
3130018,서울>도심>동대문,token,앞말 겹침 0.3333 (동대문문구완구거리(동대문문구완구시장) ≈ 동대문)
3130019,서울>도심>동대문,token,앞말 겹침 0.4286 (동대문상가D동 ≈ 동대문)
3120027,서울>도심>명동,normalized,
3120028,서울>도심>명동,exact,
3130035,서울>도심>방산시장,exact,
3120007,서울>도심>북촌,exact,
3120002,서울>도심>서촌,exact,
3120020,서울>도심>시청,token,앞말 겹침 0.5 (시청역_1번 ≈ 시청)
3120021,서울>도심>시청,token,앞말 겹침 0.5 (시청역_8번 ≈ 시청)
3120022,서울>도심>시청,token,앞말 겹침 0.5 (시청역_6번 ≈ 시청)
3120023,서울>도심>시청,normalized,
3120025,서울>도심>시청,manual,중구 소공동. 시청역과 지하로 붙어 있다
3120026,서울>도심>을지로,token,앞말 겹침 0.6 (을지로입구역 ≈ 을지로)
3120029,서울>도심>을지로,token,앞말 겹침 0.6 (을지로2가 ≈ 을지로)
3120031,서울>도심>을지로,token,앞말 겹침 0.6 (을지로3가역 ≈ 을지로)
3120033,서울>도심>을지로,token,앞말 겹침 0.6 (을지로4가역 ≈ 을지로)
3001494,서울>도심>종로,token,앞말 겹침 0.5 (종로·청계 관광특구 ≈ 종로)
3110026,서울>도심>종로,token,앞말 겹침 0.5 (종로5가역 4번 ≈ 종로)
3120004,서울>도심>종로,token,앞말 겹침 0.5 (종로구청 ≈ 종로)
3120009,서울>도심>종로,token,앞말 겹침 0.5 (종로3가역 ≈ 종로)
3120011,서울>도심>종로,token,앞말 겹침 0.5 (종로4가 ≈ 종로)
3120014,서울>도심>종로,token,앞말 겹침 0.5 (종로5가역 ≈ 종로)
3120015,서울>도심>종로,token,앞말 겹침 0.5 (종로6가 ≈ 종로)
3130010,서울>도심>종로,token,앞말 겹침 0.3333 (종로신진시장 ≈ 종로)
3110043,서울>도심>충무로,token,앞말 겹침 0.6667 (충무초등학교 ≈ 충무로)
3120032,서울>도심>충무로,normalized,
3110583,서울>여의도마포>공덕역,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.2857 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.2857 (공덕래미안3차아파트 ≈ 공덕역)
3110587,서울>여의도마포>공덕역,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.6667 (공덕동주민센터 ≈ 공덕역)
3120107,서울>여의도마포>공덕역,exact,이중 권역(오피스/상가 분할 상이)
3130196,서울>여의도마포>공덕역,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.5 (공덕시장 ≈ 공덕역)
3110773,서울>여의도마포>당산역,normalized,이중 권역(오피스/상가 분할 상이)
3110774,서울>여의도마포>당산역,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.2 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.2 (당산반도유보라팰리스아파트 ≈ 당산역)
3110786,서울>여의도마포>당산역,normalized,이중 권역(오피스/상가 분할 상이)
3120143,서울>여의도마포>당산역,exact,이중 권역(오피스/상가 분할 상이)
3120149,서울>여의도마포>여의도,exact,이중 권역(오피스/상가 분할 상이)
3110583,서울>영등포신촌>공덕역,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.2857 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.2857 (공덕래미안3차아파트 ≈ 공덕역)
3110587,서울>영등포신촌>공덕역,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.6667 (공덕동주민센터 ≈ 공덕역)
3120107,서울>영등포신촌>공덕역,exact,이중 권역(오피스/상가 분할 상이)
3130196,서울>영등포신촌>공덕역,token,이중 권역(오피스/상가 분할 상이); 앞말 겹침 0.5 (공덕시장 ≈ 공덕역)
3110773,서울>영등포신촌>당산역,normalized,이중 권역(오피스/상가 분할 상이)
3110774,서울>영등포신촌>당산역,token,이중 권역(오피스/상가 분할 상이) — 앞말 겹침 0.2 로 원래는 사람 확인 대상이나 이중 권역 규칙으로 승격; 앞말 겹침 0.2 (당산반도유보라팰리스아파트 ≈ 당산역)
3110786,서울>영등포신촌>당산역,normalized,이중 권역(오피스/상가 분할 상이)
3120143,서울>영등포신촌>당산역,exact,이중 권역(오피스/상가 분할 상이)
3110541,서울>영등포신촌>동교/연남,normalized,
3110562,서울>영등포신촌>동교/연남,token,앞말 겹침 0.6667 (연남동주민센터 ≈ 연남)
3120104,서울>영등포신촌>동교/연남,manual,"자동은 원본 별칭 '(홍대)' 때문에 홍대/합정으로 갔으나, R-ONE 에 더 좁은 잎 '동교/연남' 이 따로 있다. 이웃 상권(연트럴파크·동교초등학교)도 그쪽이다"
3110540,서울>영등포신촌>망원역,token,앞말 겹침 0.4 (망원나들목체육관 ≈ 망원역)
3110554,서울>영등포신촌>망원역,normalized,
3120100,서울>영등포신촌>망원역,exact,
3130185,서울>영등포신촌>망원역,manual,마포구 망원동
3130186,서울>영등포신촌>망원역,token,앞말 겹침 0.5 (망원시장 ≈ 망원역)
3110573,서울>영등포신촌>신촌/이대,normalized,
3110582,서울>영등포신촌>신촌/이대,normalized,
3120094,서울>영등포신촌>신촌/이대,normalized,
3120096,서울>영등포신촌>신촌/이대,exact,
3130175,서울>영등포신촌>신촌/이대,token,앞말 겹침 0.4 (신촌 상인회(신촌상점가) ≈ 신촌)
3130178,서울>영등포신촌>신촌/이대,manual,"서대문구 대현동, 이대 앞"
3120149,서울>영등포신촌>여의도,exact,이중 권역(오피스/상가 분할 상이)
3110782,서울>영등포신촌>영등포역,token,앞말 겹침 0.6 (영등포시장역 4번 ≈ 영등포역)
3110783,서울>영등포신촌>영등포역,token,앞말 겹침 0.6 (영등포시장역 1번 ≈ 영등포역)
3110785,서울>영등포신촌>영등포역,token,앞말 겹침 0.4286 (영등포푸르지오아파트 ≈ 영등포역)
3110788,서울>영등포신촌>영등포역,token,앞말 겹침 0.6 (영등포시장역 3번 ≈ 영등포역)
3110792,서울>영등포신촌>영등포역,normalized,
3110799,서울>영등포신촌>영등포역,token,앞말 겹침 0.6 (영등포본동주민센터 ≈ 영등포역)
3110800,서울>영등포신촌>영등포역,token,앞말 겹침 0.5 (영등포동성당 ≈ 영등포역)
3120141,서울>영등포신촌>영등포역,token,앞말 겹침 0.4286 (영등포청과시장교차로 ≈ 영등포역)
3120145,서울>영등포신촌>영등포역,exact,
